Loinc_code,Loinc_Description,Loinc_Category
82813-7,Adverse Childhood Experiences [ACE],Environments
79060-0,Are you able to receive a call on a cell phone [PROMIS],Environments
93676-5,Are you concerned about someone in your home using drugs or alcohol [WellRx],Environments
93045-3,Carbon monoxide [Mass/volume] in Air,Environments
75274-1,Characteristics of residence,Environments
46561-7,Current ability - transportation [OASIS],Environments
63027-7,Deprecated PhenX measure - neighborhood safety,Environments
93682-3,Do you feel unsafe in your daily life [WellRx],Environments
63839-5,Do you have wall-to-wall carpeting in your home [FEAS],Environments
93672-4,"Do you need daycare, or better daycare, for your kids [WellRx]",Environments
63833-8,Floor material in your workspace if other [FEAS],Environments
63837-9,Has there been renovation in your home during the past 12 months [FEAS],Environments
63836-1,Has there been renovation or repairs in your home due to moisture damage [FEAS],Environments
63831-2,Has there been renovation or repairs in your workspace because of moisture damage [FEAS],Environments
83322-8,Home environment safety and stability [PCAM],Environments
71802-3,Housing status,Environments
76499-3,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]",Environments
67611-4,"I feel safe walking in my neighborhood, day or night [PhenX]",Environments
93683-1,Is anyone in your home threatening or abusing you [WellRx],Environments
63840-3,Is the floor material in your home plastic or vinyl [FEAS],Environments
63842-9,Is the wall material in your home plastic [FEAS],Environments
67613-0,My neighborhood is safe from crime [PhenX],Environments
62944-4,PhenX - exposures to violence - adult protocol 181401,Environments
62945-1,PhenX - exposures to violence - child protocol 181402,Environments
63017-8,PhenX - family conflict - intimate-relationship protocol 210401,Environments
63018-6,PhenX - family conflict - parent - child protocol 210402,Environments
63036-8,PhenX - neighborhood concentrated disadvantage protocol 211301,Environments
63028-5,PhenX - neighborhood safety protocol 210901,Environments
64035-9,Repair done in your home during the past 12 months if other [FEAS],Environments
92274-0,Rules for using smoked tobacco products inside home,Environments
92279-9,Rules for using smokeless tobacco products inside home,Environments
66362-5,The crime rate in my neighborhood makes it unsafe to go on walks at night [PhenX],Environments
63832-0,What is the floor material in your workspace [FEAS],Environments
63838-7,Which of the following repairs was done in your home during the past 12 months [FEAS],Environments
67040-6,Your rent or mortgage is too much [PhenX],Environments
67789-8,Black Neighborhood [PhenX],Community
82823-6,Criminal household member--before 18 years old [ACE],Community
68507-3,Did you ever serve on active duty in the armed forces of the U.S. [SAMHSA],Community
93677-3,Do you need help with legal issues [WellRx],Community
75706-2,"During the past 2 weeks, was someone available to help you if you needed and wanted help [COOP.WONCA]",Community
75802-9,"During the past 4 weeks, was someone available to help you if you needed and wanted help [COOP]",Community
67786-4,Female-headed households Neighborhood [PhenX],Community
67784-9,Individuals below poverty line Neighborhood [PhenX],Community
67785-6,Individuals on public assistance Neighborhood [PhenX],Community
67788-0,Less than age 18 Neighborhood [PhenX],Community
91642-9,Medical Outcomes Study Social Support Survey panel [MOS Social Support Survey],Community
63015-2,PhenX - discrimination protocol 210301,Community
62929-5,PhenX - perceived social support - conflict protocol 180701,Community
62933-7,PhenX - social isolation protocol 181001,Community
63032-7,PhenX - social networks protocol 211101,Community
82818-6,Physical neglect--before 18 years old [ACE],Community
76506-5,Social connection and isolation panel,Community
91663-5,Social support index [MOS Social Support Survey],Community
67787-2,Unemployed Neighborhood [PhenX],Community
93673-2,Are you unemployed or without regular income [WellRx],Economics
93033-9,Are you worried about losing your housing [PRAPARE],Economics
11294-6,Current employment Narrative - Reported,Economics
68505-7,Current occupational status [SAMHSA],Economics
93671-6,Do you have trouble finding or paying for transportation [WellRx],Economics
93670-8,Do you have trouble paying for your gas or electricity bills [WellRx],Economics
93674-0,Do you need help finding a better job [WellRx],Economics
91570-2,Employment net income in past 30 days,Economics
67875-5,Employment status - current,Economics
91388-9,Has automobile available for use,Economics
76513-1,"How hard is it for you to pay for the very basics like food, housing, medical care, and heating [CARDIA]",Economics
91648-6,Tangible support score [MOS Social Support Survey],Economics
77244-2,Total combined household income range in last year,Economics
63509-4,"Was your total family income from all sources less than 100,000 dollars or 100,000 dollars or more [PhenX]",Economics
63507-8,"Was your total family income from all sources less than 35,000 dollars or 35,000 dollars or more [PhenX]",Economics
63506-0,"Was your total family income from all sources less than 50,000 dollars or 50,000 dollars or more [PhenX]",Economics
63510-2,"Was your total family income from all sources less than 75,000 dollars or 75,000 dollars or more [PhenX]",Economics
63508-6,Was your total family income from all sources less than poverty threshold or more [PhenX],Economics
63586-2,"What was your best estimate of the total income of all family members from all sources, before taxes, in last year [PhenX]",Economics
67050-5,You are looking for a job and can't find the one you want [PhenX],Economics
67089-3,You don't have enough money to buy the things you or your kids need [PhenX],Economics
93675-7,Do you need help getting more education [WellRx],Educations
82589-3,Highest level of education,Educations
87300-0,Highest level of education Father,Educations
57712-2,Highest level of education Mother,Educations
80913-7,Highest level of education [US Standard Certificate of Death],Educations
63504-5,What is the highest grade or level of school you have completed or the highest degree you have received [NHANES],Educations
82590-1,Years of education [#] - Reported,Educations
67597-5,A large selection of fresh fruits and vegetables is available in my neighborhood [PhenX],Foods
67598-3,A large selection of low-fat products is available in my neighborhood [PhenX],Foods
92657-6,Age when first fed formula,Foods
92661-8,Age when first fed something other than breast milk or formula,Foods
88124-3,Food insecurity risk [HVS],Foods
65464-0,"I did not feel like eating, I wasn't very hungry [CES-DC]",Foods
87303-4,Mother WIC food recipient,Foods
63024-4,PhenX - healthy food environments protocol 210701,Foods
45738-2,Regular or repetitive complaints of hunger [Minimum Data Set],Foods
89088-9,WIC services recipient,Foods
88123-5,Within the past 12 months the food we bought just didn't last and we didn't have money to get more [U.S. FSS],Foods
88122-7,Within the past 12 months we worried whether our food would run out before we got money to buy more [U.S. FSS],Foods
87535-1,Challenges to maintaining treatments or health behaviors,Healthcares
93678-1,Have you been at the emergency department more than twice in the last 6 months [WellRx],Healthcares
74186-8,Health insurance funding was provided,Healthcares
93680-7,Hospitalized in the last 6 months,Healthcares
68503-2,How well do you speak english [SAMHSA],Healthcares
52553-5,Language.primary is English,Healthcares
92257-5,Number of visits with usual provider 12 months,Healthcares
52556-8,Payment sources,Healthcares
94066-8,Person-Centered Primary Care Measure [PCPCM],Healthcares
54899-0,Preferred language,Healthcares
76437-3,Primary insurance,Healthcares
68504-0,What language do you feel most comfortable speaking with your doctor or nurse [SAMHSA],Healthcares
